"","setname","teamName","opponent","season","wonMatch","wonSet","serveErr","setErr","attackErr","freeballErr","ace","kill","stuffBlock","unforcedErrs","earnedPts"
"111","190906 CU @ IA 3-0s2","CU","IA","CU 19","TRUE","TRUE",10,0,5,1,1,26,2,16,29
"112","190906 CU @ IA 3-0s2","IA","CU","19","FALSE","FALSE",10,0,5,1,1,26,2,16,29
"113","190906 CU @ IA 3-0s3","CU","IA","CU 19","TRUE","TRUE",10,0,2,0,0,29,7,12,36
"114","190906 CU @ IA 3-0s3","IA","CU","19","FALSE","FALSE",10,0,2,0,0,29,7,12,36
"115","190907 CU vs IL 3-0s1","CU","IL","CU 19","TRUE","TRUE",7,0,4,2,5,35,5,13,45
"116","190907 CU vs IL 3-0s1","IL","CU","19","FALSE","FALSE",7,0,4,2,5,35,5,13,45
"117","190907 CU vs IL 3-0s2","CU","IL","CU 19","TRUE","TRUE",5,0,3,0,5,23,8,8,36
"118","190907 CU vs IL 3-0s2","IL","CU","19","FALSE","FALSE",5,0,3,0,5,23,8,8,36
"119","190907 CU vs IL 3-0s3","CU","IL","CU 19","TRUE","TRUE",6,2,1,0,4,30,2,9,36
"120","190907 CU vs IL 3-0s3","IL","CU","19","FALSE","FALSE",6,2,1,0,4,30,2,9,36
"121","190912 CU @ CO St 0-3s1","CO St","CU","19","TRUE","TRUE",5,1,9,0,1,18,3,15,22
"122","190912 CU @ CO St 0-3s1","CU","CO St","CU 19","FALSE","FALSE",5,1,9,0,1,18,3,15,22
"123","190912 CU @ CO St 0-3s2","CO St","CU","19","TRUE","TRUE",4,3,9,0,2,15,4,16,21
"124","190912 CU @ CO St 0-3s2","CU","CO St","CU 19","FALSE","FALSE",4,3,9,0,2,15,4,16,21
"125","190912 CU @ CO St 0-3s3","CO St","CU","19","TRUE","TRUE",9,0,3,0,3,27,4,12,34
"126","190912 CU @ CO St 0-3s3","CU","CO St","CU 19","FALSE","FALSE",9,0,3,0,3,27,4,12,34
"127","190913 CU vs CO St 2-3s1","CO St","CU","19","TRUE","FALSE",6,0,5,0,2,16,7,11,25
"128","190913 CU vs CO St 2-3s1","CU","CO St","CU 19","FALSE","TRUE",6,0,5,0,2,16,7,11,25
"129","190913 CU vs CO St 2-3s2","CO St","CU","19","TRUE","TRUE",1,0,6,1,1,32,7,8,40
"130","190913 CU vs CO St 2-3s2","CU","CO St","CU 19","FALSE","FALSE",1,0,6,1,1,32,7,8,40
"131","190913 CU vs CO St 2-3s3","CO St","CU","19","TRUE","TRUE",5,2,5,0,4,22,6,12,32
"132","190913 CU vs CO St 2-3s3","CU","CO St","CU 19","FALSE","FALSE",5,2,5,0,4,22,6,12,32
"133","190913 CU vs CO St 2-3s4","CO St","CU","19","TRUE","FALSE",6,0,7,1,3,22,6,14,31
"134","190913 CU vs CO St 2-3s4","CU","CO St","CU 19","FALSE","TRUE",6,0,7,1,3,22,6,14,31
"135","190913 CU vs CO St 2-3s5","CO St","CU","19","TRUE","TRUE",3,1,5,0,0,11,2,9,13
"136","190913 CU vs CO St 2-3s5","CU","CO St","CU 19","FALSE","FALSE",3,1,5,0,0,11,2,9,13
"137","190920 CU vs Oakland 3-1s1","CU","Oakland","CU 19","TRUE","TRUE",4,0,10,0,1,23,1,14,25
"138","190920 CU vs Oakland 3-1s1","Oakland","CU","19","FALSE","FALSE",4,0,10,0,1,23,1,14,25
"139","190920 CU vs Oakland 3-1s2","CU","Oakland","CU 19","TRUE","TRUE",4,1,4,1,1,22,4,10,27
"140","190920 CU vs Oakland 3-1s2","Oakland","CU","19","FALSE","FALSE",4,1,4,1,1,22,4,10,27
"141","190920 CU vs Oakland 3-1s3","CU","Oakland","CU 19","TRUE","FALSE",8,0,4,0,3,31,4,12,38
"142","190920 CU vs Oakland 3-1s3","Oakland","CU","19","FALSE","TRUE",8,0,4,0,3,31,4,12,38
"143","190920 CU vs Oakland 3-1s4","CU","Oakland","CU 19","TRUE","TRUE",3,1,6,1,0,23,5,11,28
"144","190920 CU vs Oakland 3-1s4","Oakland","CU","19","FALSE","FALSE",3,1,6,1,0,23,5,11,28
"145","190921 CU vs Campbell 3-0s1","CU","Campbell","CU 19","TRUE","TRUE",5,0,7,0,1,19,3,12,23
"146","190921 CU vs Campbell 3-0s1","Campbell","CU","19","FALSE","FALSE",5,0,7,0,1,19,3,12,23
"147","190921 CU vs Campbell 3-0s2","CU","Campbell","CU 19","TRUE","TRUE",4,0,8,1,1,22,3,13,26
"148","190921 CU vs Campbell 3-0s2","Campbell","CU","19","FALSE","FALSE",4,0,8,1,1,22,3,13,26
"149","190921 CU vs Campbell 3-0s3","CU","Campbell","CU 19","TRUE","TRUE",3,1,8,0,4,27,3,12,34
"150","190921 CU vs Campbell 3-0s3","Campbell","CU","19","FALSE","FALSE",3,1,8,0,4,27,3,12,34
"151","190921 CU vs UMBC 3-0s1","CU","UMBC","CU 19","TRUE","TRUE",2,0,9,1,3,32,1,12,36
"152","190921 CU vs UMBC 3-0s1","UMBC","CU","19","FALSE","FALSE",2,0,9,1,3,32,1,12,36
"153","190921 CU vs UMBC 3-0s2","CU","UMBC","CU 19","TRUE","TRUE",4,0,2,2,5,16,3,8,24
"154","190921 CU vs UMBC 3-0s2","UMBC","CU","19","FALSE","FALSE",4,0,2,2,5,16,3,8,24
"155","190921 CU vs UMBC 3-0s3","CU","UMBC","CU 19","TRUE","TRUE",4,0,9,0,4,19,7,13,30
"156","190921 CU vs UMBC 3-0s3","UMBC","CU","19","FALSE","FALSE",4,0,9,0,4,19,7,13,30
"157","190925 CU @ UT 0-3s1","CU","UT","CU 19","FALSE","FALSE",1,0,6,0,1,25,3,7,29
"158","190925 CU @ UT 0-3s1","UT","CU","19","TRUE","TRUE",1,0,6,0,1,25,3,7,29
"159","190925 CU @ UT 0-3s2","CU","UT","CU 19","FALSE","FALSE",3,0,8,0,4,29,3,11,36
